description,price,rating,review_count,url
"Unlocked Phones, Blackview A80, 4G Dual sim Unlocked Smartphones, Bundle Android 10 OS 2GB+16GB ROM Unlocked Cell Phones, 6.21"" HD+, Fingerprint Face Detection, 4200mAh Capacity Battery tmobile Phone","$109.99,$129.99",3.9 out of 5 stars,"1,411",https://www.amazon.com/Unlocked-Blackview-Smartphones-Fingerprint-Detection/dp/B08ZMRCZ5J
"Apple iPhone Xs, 256GB, Gold - Fully Unlocked (Renewed Premium)","$379.00,$418.56",4.0 out of 5 stars,13,https://www.amazon.com/Apple-iPhone-Xs-256GB-Gold/dp/B08BDZQXX5
"TCL 10 Pro Unlocked Android Smartphone with 6.47"" AMOLED FHD + Display, 64MP Quad Rear Camera System, 128GB+6GB RAM, 4500mAh Fast Charging Battery - Forest Mist Green",$399.99,4.1 out of 5 stars,954,https://www.amazon.com/TCL-Unlocked-Android-Smartphone-Charging/dp/B087LW5VR1
Super Small Mini Smartphone 3G Dual SIM Mobile Phone 1GB RAM 8GB ROM 5.0MP Quad Core Dual Standby Unlocked Small Phones Kids Phone Pocket 2.5 Inch Android Mini Cellphone (Black),$78.89,3.2 out of 5 stars,75,https://www.amazon.com/Smartphone-Mobile-Standby-Unlocked-Pocket/dp/B07KBV982N
"Google Pixel 4 (128GB, 6GB) 5.7"", IP68 Water Resistant, Snapdragon 855, GSM/CDMA Factory Unlocked (AT&T/T-Mobile/Verizon/Straight Talk) w/Fast Qi Wireless Pad (Just Black)",$549.97,3.9 out of 5 stars,54,https://www.amazon.com/Google-Resistant-Snapdragon-Unlocked-T-Mobile/dp/B097CDQ22Q
Nokia 5.3 | Android 10 | Unlocked Smartphone | 2-Day Battery | Single SIM | 4/64GB | 6.55-Inch Screen | 13MP Quad Camera | Charcoal,$179.00,4.0 out of 5 stars,39,https://www.amazon.com/Nokia-Unlocked-Smartphone-6-55-Inch-Charcoal/dp/B08ZBG6MR2
TCL 20 SE Android 11 Smartphone Unlocked Cell Phone 6.82” HD+ Display 4GB+128GB 5000mAh 48MP Quad Camera Dual Speakers Octa-Core US Verison 4G Compatible for AT&T T-Mobile (Nuit Black),$189.99,4.3 out of 5 stars,120,https://www.amazon.com/TCL-Smartphone-Unlocked-Octa-Core-Compatible/dp/B09H22QBS5
"New Apple iPhone SE (64GB, Black) [Locked] + Carrier Subscription",$399.00,4.3 out of 5 stars,202,https://www.amazon.com/Apple-iPhone-Locked-Carrier-Subscription/dp/B0875RT5WS
"Samsung Galaxy XCover Pro | Rugged (IP68 Rated) Unlocked (Verizon and AT&T) | Dual Sim | 64GB of Storage | SM-G715UZKDXAA, Black","$439.99,$499.99",3.9 out of 5 stars,699,https://www.amazon.com/Samsung-Unlocked-Storage-Version-Warranty/dp/B085WTR7BJ
"Samsung Galaxy Note 20 Ultra 5G Factory Unlocked Android Cell Phone 128GB US Version Mobile Gaming Smartphone Long-Lasting Battery, Mystic Bronze","$1,199.99",4.6 out of 5 stars,"5,031",https://www.amazon.com/Samsung-Electronics-Unlocked-Smartphone-Long-Lasting/dp/B08BX7N9SK
